"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2026","Massachusetts",73.1268,89,73.7039,22,106.817,170,103.303,253,99.8859,99,106.249,134,-2.9457,191
"2026","McNeese",70.5219,183,69.7456,197,113.598,102,111.978,97,101.894,117,101.496,74,10.4818,87
"2026","Memphis",71.3675,154,71.648,93,103.939,209,112.597,83,110.577,227,100.331,57,12.2656,71
"2026","Mercer",72.775,103,72.1119,73,109.823,136,107.739,156,116.633,298,111.048,251,-3.30873,197
"2026","Mercyhurst",65.4771,344,66.2756,346,99.6182,260,98.2666,342,104.326,147,110.293,230,-12.0261,311
"2026","Merrimack",67.1813,301,67.5515,311,98.1828,278,102.953,257,116.78,299,110.665,241,-7.7123,261
"2026","Miami FL",74.2979,59,72.7047,49,124.4,27,115.278,63,86.3747,9,98.9939,32,16.2841,44
"2026","Miami OH",72.1531,120,71.8583,85,120.57,48,110.822,113,99.7583,97,107.408,158,3.41398,126
"2026","Michigan",75.6403,29,73.2642,32,116.86,76,118.423,35,87.4475,11,90.656,2,27.7671,5
"2026","Michigan St.",68.6475,251,68.4543,272,115.079,95,116.896,51,92.3325,31,93.973,8,22.9232,18
"2026","Middle Tennessee",74.2719,60,71.3785,112,103.74,211,107.91,149,113.488,270,107.904,175,0.00611379,148
"2026","Milwaukee",70.9563,167,71.5522,105,105.121,193,107.194,170,117.644,309,112.27,286,-5.07646,221
"2026","Minnesota",65.5204,343,66.0454,354,110.45,129,109.678,125,98.0201,71,103.052,94,6.6256,104
"2026","Mississippi",67.76,281,67.5281,314,121.629,42,118.429,34,96.0645,59,99.6423,43,18.7871,34
"2026","Mississippi St.",72.912,97,71.3881,109,107.039,167,114.383,67,107.862,180,103.397,97,10.9855,82
"2026","Mississippi Valley St.",71.1933,162,68.5321,269,89.1349,345,90.2728,365,124.243,348,121.561,365,-31.2877,365
"2026","Missouri",72.8063,101,70.9425,127,128.208,11,121.531,12,96.0888,60,102.271,85,19.2609,33
"2026","Missouri St.",68.4469,257,67.0761,333,98.2278,277,101.726,277,107.95,181,109.19,199,-7.46449,257
"2026","Monmouth",66.2274,328,68.7621,255,95.9608,301,103.495,250,106.763,172,107.801,169,-4.30636,208
"2026","Montana",75.755,26,71.2311,118,106.257,179,108.826,136,111.026,235,109.649,213,-0.823363,157
"2026","Montana St.",67.96,276,68.1733,284,104.617,198,105.825,205,108.925,195,108.884,194,-3.05929,192
"2026","Morehead St.",71.0875,165,68.8198,248,97.7605,281,101.678,280,124.32,350,113.173,311,-11.4949,304
"2026","Morgan St.",70.2075,200,70.9004,129,99.6632,259,97.7157,348,120.192,321,119.11,360,-21.3942,361
"2026","Mount St. Mary's",68.7428,246,68.624,261,93.4235,321,100.786,300,108.843,193,110.139,224,-9.35354,281
"2026","Murray St.",75.6696,28,73.5344,28,117.109,73,111.253,109,103.509,134,107.389,157,3.86448,120
"2026","N.C. State",73.8125,74,71.6178,97,129.311,8,119.852,23,98.6281,82,100.556,60,19.296,32
"2026","Navy",69.4875,222,70.1125,175,104.711,197,106.292,191,107.261,176,107.533,162,-1.24033,162
"2026","Nebraska",73.7375,78,72.5378,54,119.03,62,119.201,28,95.9058,58,101.518,75,17.683,40
"2026","Nebraska Omaha",73.095,90,71.3814,111,105.695,191,107.889,151,120.687,326,113.719,319,-5.83019,228
"2026","Nevada",68.8046,243,68.8063,250,112.398,114,111.306,105,105.178,155,105.035,110,6.27107,106
"2026","New Hampshire",68.7344,247,69.969,185,80.8643,362,96.8533,352,120.771,328,114.614,330,-17.7604,351
"2026","New Haven",65.1292,350,66.9486,337,85.0432,357,93.2443,362,108.881,194,112.107,281,-18.8628,356
"2026","New Mexico",72.5167,108,71.1996,120,104.487,202,107.572,159,96.1043,61,100.064,53,7.50763,98
"2026","New Mexico St.",64,358,67.1479,330,122.849,31,109.7,123,109.537,206,106.898,147,2.80187,130
"2026","New Orleans",72.3808,116,71.5859,102,102.99,225,105.787,206,109.619,207,107.901,174,-2.11414,180
"2026","Niagara",66.9792,311,67.3133,321,94.4302,315,97.6328,349,112.585,260,112.893,305,-15.2599,341
"2026","Nicholls",71.9925,126,70.0083,183,91.6563,337,100.911,298,111.689,244,108.645,189,-7.73479,262
"2026","NJIT",71.3196,156,70.6356,139,93.0597,325,94.8008,358,106.927,175,111.867,274,-17.0662,347
"2026","Norfolk St.",64.8925,353,66.5228,344,93.355,323,100.094,306,100.259,103,106.861,145,-6.76717,244
"2026","North Alabama",65.8831,339,68.1061,290,100.605,243,103.836,244,118.421,312,112.237,282,-8.4006,271
"2026","North Carolina",73.51,81,72.5342,55,119.972,56,118.228,37,86.0051,7,97.7975,22,20.4302,25
"2026","North Carolina A&T",75.3833,32,72.6185,53,104.601,199,98.7453,334,100.619,105,112.105,280,-13.3598,324
"2026","North Carolina Central",67.1625,306,68.1183,288,86.5126,352,98.9841,331,130.93,363,116.107,345,-17.1225,348
"2026","North Dakota",72.4054,114,71.1613,122,96.4011,296,99.9906,308,108.766,192,111.737,269,-11.7462,308
"2026","North Dakota St.",73.1813,87,70.3336,158,106.986,168,107.336,165,103.013,131,109.179,198,-1.8424,175
"2026","North Florida",74.675,48,72.9422,41,100.447,246,104.423,230,124.674,351,119.654,361,-15.2315,340
"2026","North Texas",64.675,355,67.2138,324,103.06,223,105.756,207,97.9959,70,99.7537,46,6.00238,107
"2026","Northeastern",70.253,196,70.5264,149,103.058,224,103.763,245,102.764,129,107.023,150,-3.26058,196
"2026","Northern Arizona",73.2083,85,69.9234,190,96.2613,298,104.684,221,113.035,262,112.263,285,-7.57871,258
"2026","Northern Colorado",74.659,49,72.3952,62,108.058,156,107.129,171,103.183,133,109.777,219,-2.64757,185
"2026","Northern Illinois",68.8175,242,69.5999,210,106.265,178,104.86,217,114.437,279,112.253,283,-7.39389,254
"2026","Northern Iowa",65.0325,351,65.6041,357,108.362,154,108.259,144,88.6252,16,99.925,50,8.33403,92
"2026","Northern Kentucky",70.3,190,69.7027,201,103.704,212,104.196,236,109.216,203,108.83,191,-4.6344,213
"2026","Northwestern",67.3208,297,68.2196,281,122.067,38,117.272,48,99.3089,95,101.463,73,15.809,46
"2026","Northwestern St.",66.3931,322,66.9474,338,99.6928,257,104.611,223,128.066,359,115.921,343,-11.3103,302
"2026","Notre Dame",68.3125,262,67.8413,301,116.422,78,113.403,77,99.8863,100,101.67,77,11.7339,74
"2026","Oakland",71.225,159,70.5381,147,106.173,181,112.492,87,125.401,353,112.639,295,-0.14705,151
"2026","Ohio",71.0104,166,70.957,126,103.105,221,107.462,162,122.124,335,112.352,291,-4.88945,217
"2026","Ohio St.",71.84,134,70.1568,173,122.052,39,118.735,30,94.6094,44,100.237,55,18.4976,35
"2026","Oklahoma",71.4187,151,69.1767,225,123.95,29,118.533,32,104.135,142,105.269,115,13.2636,64
"2026","Oklahoma St.",79.6979,2,76.1595,3,116.956,75,114.817,65,93.1453,35,100.6,62,14.2166,58
"2026","Old Dominion",69.1208,234,68.8048,251,104.826,195,106.013,198,112.276,256,111.519,262,-5.5059,224
"2026","Oral Roberts",75.58,30,72.3941,63,100.408,247,104.738,218,120.309,322,115.351,336,-10.6135,293
"2026","Oregon",70.215,199,70.2398,170,105.861,187,112.447,89,100.058,101,99.4247,39,13.0224,67
"2026","Oregon St.",66.9189,312,66.1943,350,103.553,215,107.477,161,108.289,187,110.254,227,-2.77741,188
"2026","Pacific",69.2075,231,68.8673,243,108.602,148,107.905,150,103.645,136,107.538,163,0.367355,144
"2026","Penn",74.6094,51,72.7649,47,109.798,137,108.257,145,110.687,230,113.028,308,-4.77137,214
"2026","Penn St.",66.2833,325,68.2184,282,120.149,52,113.531,76,102.378,125,105.292,117,8.23955,94
"2026","Pepperdine",69.266,229,69.8103,192,102.456,228,104.157,237,106.352,167,108.473,184,-4.31634,209
"2026","Pittsburgh",66.3036,323,66.3559,345,108.592,149,111.28,107,100.63,106,103.607,98,7.67253,96
"2026","Portland",73.9641,68,71.332,114,99.9553,254,101.544,287,105.684,161,111.483,261,-9.93902,286
"2026","Portland St.",74.3125,58,72.3335,64,108.681,147,106.767,179,111.843,247,107.844,172,-1.07668,161
"2026","Prairie View A&M",74.9825,43,72.6916,50,95.0289,307,98.6018,335,117.218,303,111.584,264,-12.9826,321
"2026","Presbyterian",63.5804,359,64.4858,364,92.9383,326,99.9573,310,112.043,250,110.376,233,-10.4192,291
"2026","Princeton",71.7896,137,70.2675,163,93.6277,317,101.303,291,110.019,214,108.488,186,-7.18489,251
"2026","Providence",75.878,24,73.6109,25,120.538,49,116.698,53,105.616,159,102.976,92,13.7218,61
"2026","Purdue",67.8229,279,66.8314,341,127.564,15,128.775,1,101.228,114,97.1814,17,31.594,2
